7 monks cafe:breve:6.10
7 monks cafe:cortado:8.00
7 monks cafe:costa rican:6.10
7 monks cafe:guatemalan:0.50
7 monks cafe:kona:2.70
7 monks cafe:latte:5.70
7 monks cafe:marocchino:4.10
7 monks cafe:nicaraguan:3.30
95 degrees:americano:9.40
95 degrees:doppio:7.60
95 degrees:ethiopian:10.30
95 degrees:pocillo:4.20
aroma coffee:bombon:6.30
aroma coffee:breve:10.80
aroma coffee:cappuccino:4.40
aroma coffee:cubano:11.70
aroma coffee:kona:0.50
aroma coffee:latte:4.00
aroma coffee:marocchino:3.60
basin cafe:cubano:1.70
basin cafe:frappuccino:8.30
basin cafe:kona:5.30
basin cafe:mocha:5.90
basin cafe:ristretto:0.50
basin cafe:touba:1.70
basin cafe:touba:2.30
basin cafe:touba:8.10
basket & green:costa rican:1.80
basket & green:galao:5.40
basket & green:touba:4.70
bean and gone:columbian:1.60
bean and gone:espresso:3.30
bean and gone:frappuccino:7.30
bean and gone:irish:5.10
bean and gone:latte:4.30
bean and gone:latte:5.40
bean and gone:melya:6.70
beans and cream:espresso:2.80
beans and cream:gommosa:4.20
beans and cream:venezuelan:7.80
bits and bites:folgers:9.70
bits and bites:guillermo:4.00
bits and bites:irish:2.90
bits and bites:kona:2.50
bits and bites:mazagran:7.90
bits and bites:melya:2.20
bits and bites:touba:5.70
brekky cafe:au-lait:6.10
brekky cafe:costa rican:1.00
brekky cafe:galao:5.10
brekky cafe:gommosa:2.00
brekky cafe:mexican:1.20
cafe 2.0:bombon:6.20
cafe 2.0:folgers:8.10
cafe 2.0:guatemalan:4.80
cafe 2.0:kona:4.00
cafe arabica:breve:4.30
cafe arabica:columbian:4.70
cafe arabica:galao:5.80
cafe arabica:galao:6.30
cafe arabica:macchiato:7.00
cafe arabica:melya:7.10
cafe arabica:shakerato:7.70
cafe bellissimo:breve:2.10
cafe bellissimo:costa rican:7.70
cafe continental:viennese:6.60
cafe culture:antoccino:5.80
cafe culture:doppio:4.80
cafe culture:gommosa:7.90
cafe culture:irish:6.00
cafe culture:mocha frappuccino:4.80
cafe culture:nicaraguan:0.90
cafe culture:pocillo:3.10
cafe culture:touba:8.20
cafe culture:zorro:2.80
cafe italia:ristretto:1.40
cafe java:columbian:7.40
cafe java:decaffeinated:13.20
cafe java:espresso:6.80
cafe java:gommosa:9.20
cafe java:instant:3.40
cafe java:melya:1.60
cafe java:pharisaer:9.30
cafe java:ristretto:5.40
cafe java:ristretto:8.50
cafe latte:botz:7.60
cafe latte:breve:5.10
cafe latte:cappuccino:8.00
cafe latte:iced:2.30
cafe latte:irish:7.60
cafe latte:latte:7.40
cafe latte:peruvian:1.50
cafe latte:pocillo:6.20
